item,option,supplier,part_number,price,multiplier,category
Miscellanous,JCI FX80 10 Device License,JCI,FX-SC8CL010-0,656.7,1.05,Miscellanous
Miscellanous,JCI FX80 25 Device License,JCI,FX-SC8CL025-0,927.83,1.05,Miscellanous
Miscellanous,JCI FX80 100 Device License,JCI,FX-SC8CL100-0,2740.84,1.05,Miscellanous
Miscellanous,JCI FX80 200 Device License,JCI,FX-SC8CL200-0,4105.89,1.05,Miscellanous
Miscellanous,JCI FX80 Wall Power Supply,JCI,FX-SC8XPS-0,61.16,1.05,Miscellanous
Miscellanous,JCI FX80 LON Expansion Module,JCI,FX-SC8XLON-0,280.9,1.05,Miscellanous
Miscellanous,JCI FX80 Dual RS485 Expansion Module,JCI,FX-SC8XD485-0,280.9,1.05,Miscellanous
Miscellanous,JCI FX80 Dual RS232 Expansion Module,JCI,FX-SC8X232-0,258.25,1.05,Miscellanous
Miscellanous,JCI FX80 Downgrade to run AX Ver 3.8,JCI,FX-SC8LAX-0,0.0,1.05,Miscellanous
Miscellanous,WEB300E 1 Year Maintenance,Honeywell,SMA-3E-1YR,0.0,1.045,Miscellanous
Miscellanous,WEB300E 3 Year Maintenance,Honeywell,SMA-3E-3YR,0.0,1.045,Miscellanous
Miscellanous,WEB300E 5 Year Maintenance,Honeywell,SMA-3E-5YR,0.0,1.045,Miscellanous
Miscellanous,WEB600E 1 Year Maintenance,Honeywell,SMA-6E-1YR,0.0,1.045,Miscellanous
Miscellanous,WEB600E 3 Year Maintenance,Honeywell,SMA-6E-3YR,0.0,1.045,Miscellanous
Miscellanous,WEB600E 5 Year Maintenance,Honeywell,SMA-6E-5YR,0.0,1.045,Miscellanous
Miscellanous,WEB700 1 Year Maintenance,Honeywell,SMA-7-1YR,0.0,1.045,Miscellanous
Miscellanous,WEB700 3 Year Maintenance,Honeywell,SMA-7-3YR,0.0,1.045,Miscellanous
Miscellanous,WEB700 5 Year Maintenance,Honeywell,SMA-7-5YR,0.0,1.045,Miscellanous
Miscellanous,WEB-9005 Initial 18 Month Maintenance,Honeywell,SMA-X005-1YR-INIT,76.96,1.045,Miscellanous
Miscellanous,WEB-9010 Initial 18 Month Maintenance,Honeywell,SMA-X010-1YR-INIT,115.42,1.045,Miscellanous
Miscellanous,WEB-9025 Initial 18 Month Maintenance,Honeywell,SMA-X025-1YR-INIT,187.56,1.045,Miscellanous
Miscellanous,WEB-9100 Initial 18 Month Maintenance,Honeywell,SMA-X100-1YR-INIT,555.48,1.045,Miscellanous
Miscellanous,WEB-9200 Initial 18 Month Maintenance,Honeywell,SMA-X200-1YR-INIT,832.02,1.045,Miscellanous
Miscellanous,WEB-9005 Additional 1 Year Maintenance,Honeywell,SMA-X005-1YR,76.96,1.045,Miscellanous
Miscellanous,WEB-9005 Additional 3 Year Maintenance,Honeywell,SMA-X005-3YR,187.56,1.045,Miscellanous
Miscellanous,WEB-9005 Additional 5 Year Maintenance,Honeywell,SMA-X005-5YR,240.47,1.045,Miscellanous
Miscellanous,WEB-9010 Additional 1 Year Maintenance,Honeywell,SMA-X010-1YR,115.42,1.045,Miscellanous
Miscellanous,WEB-9010 Additional 3 Year Maintenance,Honeywell,SMA-X010-3YR,281.35,1.045,Miscellanous
Miscellanous,WEB-9010 Additional 5 Year Maintenance,Honeywell,SMA-X010-5YR,360.7,1.045,Miscellanous
Miscellanous,WEB-9025 Additional 1 Year Maintenance,Honeywell,SMA-X025-1YR,187.56,1.045,Miscellanous
Miscellanous,WEB-9025 Additional 3 Year Maintenance,Honeywell,SMA-X025-3YR,456.89,1.045,Miscellanous
Miscellanous,WEB-9025 Additional 5 Year Maintenance,Honeywell,SMA-X025-5YR,586.74,1.045,Miscellanous
Miscellanous,WEB-9100 Additional 1 Year Maintenance,Honeywell,SMA-X100-1YR,555.48,1.045,Miscellanous
Miscellanous,WEB-9100 Additional 3 Year Maintenance,Honeywell,SMA-X100-3YR,1351.43,1.045,Miscellanous
Miscellanous,WEB-9100 Additional 5 Year Maintenance,Honeywell,SMA-X100-5YR,1733.77,1.045,Miscellanous
Miscellanous,WEB-9200 Additional 1 Year Maintenance,Honeywell,SMA-X200-1YR ,832.02,1.045,Miscellanous
Miscellanous,WEB-9200 Additional 3 Year Maintenance,Honeywell,SMA-X200-3YR,2027.14,1.045,Miscellanous
Miscellanous,WEB-9200 Additional 5 Year Maintenance,Honeywell,SMA-X200-5YR,2599.45,1.045,Miscellanous
Miscellanous,JCI FX80 Initial 18 Month Maintenance for up to 5 Devices,JCI,FX-SC8D005M1-0,82.92,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 18 Month Maintenance for 10 - 25 Devices,JCI,FX-SC8D010M1-0,152.75,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 18 Month Maintenance for 25 - 99 Devices,JCI,FX-SC8D025M1-0,206.99,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 18 Month Maintenance for 100-199 Devices,JCI,FX-SC8D100M1-0,615.98,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 18 Month Maintenance for 200 Up Devices,JCI,FX-SC8D200M1-0,975.09,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 3 Year Maintenance for up to 5 Devices,JCI,FX-SC8D005M3-0,206.35,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 3 Year Maintenance for 10 - 25 Devices,JCI,FX-SC8D010M3-0,359.12,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 3 Year Maintenance for 25 - 99 Devices,JCI,FX-SC8D025M3-0,502.34,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 3 Year Maintenance for 100-199 Devices,JCI,FX-SC8D100M3-0,1603.02,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 3 Year Maintenance for 200 Up Devices,JCI,FX-SC8D200M3-0,2225.76,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 5 Year Maintenance for up to 5 Devices,JCI,FX-SC8D005M5-0,297.59,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 5 Year Maintenance for 10 - 25 Devices,JCI,FX-SC8D010M5-0,582.43,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 5 Year Maintenance for 25 - 99 Devices,JCI,FX-SC8D025M5-0,828.57,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 5 Year Maintenance for 100-199 Devices,JCI,FX-SC8D100M5-0,2472.42,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 5 Year Maintenance for 200 Up Devices,JCI,FX-SC8D200M5-0,3703.06,1.05,Miscellanous
Miscellanous,WEB8000 Add 10 Devices/500 Points,Honeywell,DEVICE-10,760.4,1.045,Miscellanous
Miscellanous,WEB8000 Add 25 Devices/1250 Points,Honeywell,DEVICE-25,1287.39,1.045,Miscellanous
Miscellanous,WEB8000 Add 50 Devices/2500 Points,Honeywell,DEVICE-50,2405.2,1.045,Miscellanous
Miscellanous,WEB8000 Add 10 Devices/500 Pts Upgrade,Honeywell,DEVICE-UP-10 - Obsolete,0.0,1.045,Miscellanous
Miscellanous,WEB8000 Add 25 Devices/1250 Pts Upgrade,Honeywell,DEVICE-UP-25 - Obsolete,0.0,1.045,Miscellanous
Miscellanous,WEB8000 Add 50 Devices/2500 Pts Upgrade,Honeywell,DEVICE-UP-50 - Obsolete,0.0,1.045,Miscellanous
Miscellanous,JCI FX80 Initial 10 Device Add,JCI,FX-SC8DL10-0,813.82,1.05,Miscellanous
Miscellanous,JCI FX80 Initial 25 Device Add,JCI,FX-SC8DL25-0,1350.0,1.05,Miscellanous
Miscellanous,JCI FX80 50 Device Add,JCI,FX-SC8DL50-0,2649.5,1.05,Miscellanous
Miscellanous,Nametag,,,5.0,1.0,Miscellanous
Miscellanous,Nema-1 Small,Kele,RET1-181207BT-P,345.85,1.0,Miscellanous
Miscellanous,Nema-1 Medium,Kele,RET1-262007BT-P,436.83,1.0,Miscellanous
Miscellanous,Nema-1 Large,Kele,RET1-362607PB-P,823.71,1.0,Miscellanous
Miscellanous,Nema-1 X-Large,Kele,A-42N3609-P,1667.99,1.0,Miscellanous
Miscellanous,Nema-4 Small,Kele,A-16H16ALP-P,717.37,1.0,Miscellanous
Miscellanous,Nema-4 Medium,Kele,A-24H24ALP-P,1124.58,1.0,Miscellanous
Miscellanous,Nema-4 Large,Kele,A-36H24ALP-P,1512.98,1.0,Miscellanous
Miscellanous,Nema-12 Small,Kele,A-161606LP-P,677.78,1.0,Miscellanous
Miscellanous,Nema-12 Medium,Kele,A-242408LP-P,979.91,1.0,Miscellanous
Miscellanous,Nema-12 Large,Kele,A-362408LP-P,1306.19,1.0,Miscellanous
Miscellanous,Micro Spyder Enclosure,Honeywell,WB10707,0.0,1.0,Miscellanous
Miscellanous,One Hole Pushbutton/PL Enclosure,Kele,E1PBG,114.33,1.0,Miscellanous
Miscellanous,Two Hole Pushbutton/PL Enclosure,Kele,E2PBG,131.35,1.0,Miscellanous
Miscellanous,Three Hole Pushbutton/PL Enclosure,Kele,E3PBG,150.96,1.0,Miscellanous
Miscellanous,Four Hole Pushbutton/PL Enclosure,Kele,E4PBG,164.28,1.0,Miscellanous
Miscellanous,Small Nema-1 Enclosure,Kele,SCE12N1206LP,107.51,1.0,Miscellanous
Miscellanous,Outdoor Aspirator Cabinet - Needs 24VDC,Kele,A21,398.46,1.0,Miscellanous
Miscellanous,Pilot Light - Green,Kele,APW299D-G-24 ,46.65,1.0,Miscellanous
Miscellanous,Pilot Light - Red,Kele,APW299D-R-24 ,46.65,1.0,Miscellanous
Miscellanous,Pilot Light - Amber,Kele,APW299D-A-24,46.65,1.0,Miscellanous
Miscellanous,Electronic Pressure Transducer,Kele,EP-313-020,178.79,1.0,Miscellanous
Miscellanous,Solenoid Air Valve - 24V,Broudy,V11HGA-100,277.27,1.0,Miscellanous
Miscellanous,Solenoid Air Valve - 120V,Broudy,V11HAA-100,260.34,1.0,Miscellanous
Miscellanous,Pressure Electric Switch,Broudy,P10BC-7C,123.75,1.0,Miscellanous
Miscellanous,24VDC Panel Mounted - 1.3 A,Kele,PS5R-VB24,50.96,1.0,Miscellanous
Miscellanous,24VDC Field Mounted - 250 mA,Kele,DCP-250-H,73.08,1.0,Miscellanous
Miscellanous,24VDC 150 Watt - 6.5 Amp,Broudy,M-600400,632.65,1.0,Miscellanous
Miscellanous,Phoenix 30W 24V,Broudy,UNO-PS/1AC/24DC/ 30W,23.05,1.0,Miscellanous
Miscellanous,Phoenix 60W 24V,Broudy,UNO-PS/1AC/24DC/ 60W,55.08,1.0,Miscellanous
Miscellanous,Phoenix 100W 24V,Broudy,UNO-PS/1AC/24DC/100W,87.64,1.0,Miscellanous
Miscellanous,Phoenix 90W 24V,Broudy,UNO-PS/1AC/24DC/90W/C2LPS,99.86,1.0,Miscellanous
Miscellanous,Phoenix 2.5A 24V,Broudy,QUINT4-PS/1AC/24DC/2.5/SC,100.45,1.0,Miscellanous
Miscellanous,Phoenix 150W 24V,Broudy,UNO-PS/1AC/24DC/150W,31.07,1.0,Miscellanous
Miscellanous,Phoenix Surge Protector,Broudy,PLT-SEC-T3-120-FM-UT,181.05,1.0,Miscellanous
Miscellanous,Phoenix 24VDC UPS,Broudy,UNO-UPS/24DC/24DC/60W,316.2,1.0,Miscellanous
Miscellanous,High Static Limit Switch,Kele,1900-5-MR,111.93,1.0,Miscellanous
Miscellanous,Duct Static Air,Veris,PX3DXX02,130.12,1.0,Miscellanous
Miscellanous,0 - 50 PSI Wet,Veris,PG05AM,228.2,1.0,Miscellanous
Miscellanous,0 - 50 PSI Wet with Display,Kele,GC51-50,1397.22,1.0,Miscellanous
Miscellanous,"Diff, Wet-Wet",Veris,PWLX04S,399.25,1.0,Miscellanous
Miscellanous,3 Valve Manifold,Veris,AA14A,321.32,1.0,Miscellanous
Miscellanous,Steam Pigtail,Veris,AA13,13.27,1.0,Miscellanous
Miscellanous,0-50 PSI with 2 Remote Sensors w 10' cables,Veris,PWRLX03S010,592.31,1.0,Miscellanous
Miscellanous,0-100 PSI with 2 Remote Sensors w 10' cables,Veris,PWRLX04S010,592.31,1.0,Miscellanous
Miscellanous,0-250 PSI with 2 Remote Sensors w 10' cables,Veris,PWRLX05S010,592.31,1.0,Miscellanous
Miscellanous,Setra Space Pressure - Analog out,Kele,26410R5WB11A1C,282.25,1.0,Miscellanous
Miscellanous,Setra Low DP Pressure - Analog out,Kele,2691-001WB,1397.66,1.0,Miscellanous
Miscellanous,Setra 1 Room Monitor - Voltage out,Kele,SRPM-0R1WB-A1-V,1976.64,1.0,Miscellanous
Miscellanous,Setra 1 Room Monitor - BACNet,Kele,SRPM-0R1WB-A2-E,1967.07,1.0,Miscellanous
Miscellanous,Setra Remote Annunciator,Kele,SRAN,249.92,1.0,Miscellanous
Miscellanous,Setra FLEX Room Monitor,ALPS,FLEX0R1WBRC7S2,2464.45,1.0,Miscellanous
Miscellanous,Pressura 1 Room Monitor - BACNet,Pressura,RPM10,1972.45,1.0,Miscellanous
Miscellanous,Pressura 2 Rm + Ante Rm Monitor - BACNET,Pressura,RPM20,2322.65,1.0,Miscellanous
Miscellanous,Pressura RPM20 Remote Monitor - Up to 2 Additional for RPM20,Pressura,800243,618.0,1.0,Miscellanous
Miscellanous,Pressura 2 Rm + Ante Rm Monitor - LON,Pressura,RPM20-LON,2914.9,1.0,Miscellanous
Miscellanous,Pressura 1 Room Controller - BACNet,Pressura,RPC30,3203.3,1.0,Miscellanous
Miscellanous,Pressura 1 Room Controller - LON,Pressura,RPC30-LON,3780.1,1.0,Miscellanous
Miscellanous,Pressura Nurses Station Monitor for 8 Sensors,Pressura,NSD8,2693.45,1.0,Miscellanous
Miscellanous,Iso-Tek Space Pressure,Iso-Tek,SPM-2000,0.0,1.0,Miscellanous
Miscellanous,Iso-Tek Monitor Setup Tool,Iso-Tek,SPM-7000,0.0,1.0,Miscellanous
Miscellanous,Triatek Bacnet Space Pressure,Triatek,FMS-1655,0.0,1.0,Miscellanous
Miscellanous,Extended Head,Kele,ABW-111,22.11,1.0,Miscellanous
Miscellanous,Flush Head,Kele,ABW-211,19.32,1.0,Miscellanous
Miscellanous,Red Indoor,Kele,869STR-R-AQ,395.1,1.0,Miscellanous
Miscellanous,Red Outdoor,Kele,868STR-R-AQ,516.35,1.0,Miscellanous
Miscellanous,Sonalert 24VAC/DC Horn Only,Kele,SC628A,55.68,1.0,Miscellanous
Miscellanous,White Horn and Strobe,Kele,P2WL-P,172.26,1.0,Miscellanous
Miscellanous,"Tower Light - Green/Amber/Red with Horn, 24VAC/DC",Kele,WTL-50P1-MCDGDAFRFS3,351.05,1.0,Miscellanous
Miscellanous,24VAC SPDT with Base,Kele,RH1B-UAC24 + SH1B-05,6.949999999999999,1.0,Miscellanous
Miscellanous,24VAC DPDT with Base,Kele,RH2B-UAC24 + SH2B-05,8.120000000000001,1.0,Miscellanous
Miscellanous,24VAC DPDT w OR/LED & Base,Kele,KIT-782XBXM4L-24A,33.27,1.0,Miscellanous
Miscellanous,RIB Pilot Relay,Broudy,RIBU1C,14.36,1.0,Miscellanous
Miscellanous,RIB Pilot Relay with HOA,Broudy,RIBU1S,30.01,1.0,Miscellanous
Miscellanous,RIB Power Relay DPDT,Broudy,RIB24P,63.98,1.0,Miscellanous
Miscellanous,"RIB Power Relay, HOA, SPST",Broudy,RIB2402SB,37.5,1.0,Miscellanous
Miscellanous,RIB BACnet SPDT Relay with 1 Input - Needs 24VAC,Broudy,RIBTW2401B-BC,113.99,1.0,Miscellanous
Miscellanous,"Sherlock Refrigerant Monitor Panel, MODBUS & A/O KIT SHLK404",Sherlock,88-0759-00,3213.61,1.0,Miscellanous
Miscellanous,Sherlock R-123 Room Sensor IR SNR R-123,Sherlock,60-0137-01,1427.14,1.0,Miscellanous
Miscellanous,Sherlock R-513A Room Sensor IR SNR R-513A,Sherlock,60-0542-01,1261.61,1.0,Miscellanous
Miscellanous,Sherlock Blue Alarm Strobe,Sherlock,88-0233-00,267.3,1.0,Miscellanous
Miscellanous,Belimo Refrigerant Gas Detector w CANbus for accessories below,Broudy,22G21-5C,1945.1,1.0,Miscellanous
Miscellanous,Belimo Audible Alarm,Broudy,A-22G-A16,312.17,1.0,Miscellanous
Miscellanous,Belimo Visual Alarm,Broudy,A-22G-A15,143.22,1.0,Miscellanous
Miscellanous,Belimo Relay Module w 4 SPDT Relays,Broudy,C-22G-5B,181.04,1.0,Miscellanous
Miscellanous,"Belimo Communication Module, 2 Relays, BACnet, CANbus",Broudy,C-22G-5B,256.06,1.0,Miscellanous
Miscellanous,"Sen Tech 1, 2 or 3 Zone Refrigerant Monitor",Sen Tech,"IR-SNIF1,2,3",,1.0,Miscellanous
Miscellanous,Sen Tech 4 Zone Refrigerant Monitor,Sen Tech,MCD4,,1.0,Miscellanous
Miscellanous,Sen Tech Combo Horn Strobe,Sen Tech,ACC020,,1.0,Miscellanous
Miscellanous,"Refrigerant Sensor, R134A w Alarm Horn,1 Relay and 1 AO",Kele,RLD-134A,1292.39,1.0,Miscellanous
Miscellanous,CO Modbus w/ Relay,Honeywell,SPLCC1BMRCXNZZ,968.53,1.045,Miscellanous
Miscellanous,CO Modbus w/o Relay,Honeywell,SPLCC1BMXCXNZZ,828.51,1.045,Miscellanous
Miscellanous,CO 4-20mA w/ Relay,Honeywell,SPLCC1BARCXCXNZZ,808.65,1.045,Miscellanous
Miscellanous,CO 4-20mA w/o Relay,Honeywell,SPLCC1BAXCXNZZ,808.65,1.045,Miscellanous
Miscellanous,NO2 Modbus w/ Relay,Honeywell,SPLCN1BMRCXNZZ,968.53,1.045,Miscellanous
Miscellanous,NO2 Modbus w/o Relay,Honeywell,SPCCNN1BMXCXNZZ,828.51,1.045,Miscellanous
Miscellanous,NO2 4-20mA w/ Relay,Honeywell,SPLCN1BARCXNZZ,968.53,1.045,Miscellanous
Miscellanous,NO2 4-20mA w/o Relay,Honeywell,SPLCN1BAXCXNZZ,1258.46,1.045,Miscellanous
Miscellanous,CO and NO2 Modbus Bundle,Honeywell,SPLCONO2-BNDL-MB,2333.76,1.045,Miscellanous
Miscellanous,CO and NO2 4-20mA Bundle,Honeywell,SPLCONO2-BNDL-MA,2077.13,1.045,Miscellanous
Miscellanous,2 Position,Kele,ASW-210,25.15,1.0,Miscellanous
Miscellanous,3 Position,Kele,ASW-320,25.54,1.0,Miscellanous
Miscellanous,Smoke Dmpr Disconnect with PL,Kele,PDK-L,76.56,1.0,Miscellanous
Miscellanous,Door Switch,,Door Switch,25.0,1.0,Miscellanous
Miscellanous,Overhead Door Switch,Kele,MET-44WG-18,25.04,1.0,Miscellanous
Miscellanous,Air Flow Switch,Kele,AFS-222,36.0,1.0,Miscellanous
Miscellanous,Small - AX 3 Stations,Honeywell,WEB-S-AX-3-O,0.0,1.045,Miscellanous
Miscellanous,Medium - AX 100 Stations,Honeywell,WEB-S-AX-100-O,0.0,1.045,Miscellanous
Miscellanous,Large - AX Unlimited,Honeywell,WEB-S-AX-UNL-O,0.0,1.045,Miscellanous
Miscellanous,N4 Supervisor-for 0 Network - (SoftJace),Honeywell,WEB-S-0-N4,565.25,1.045,Miscellanous
Miscellanous,N4 Supervisor for 1 Network,Honeywell,WEB-S-1-N4,776.81,1.045,Miscellanous
Miscellanous,N4 Supervisor for 2 Network,Honeywell,WEB-S-2-N4,926.34,1.045,Miscellanous
Miscellanous,N4 Supervisor for 3 Network,Honeywell,WEB-S-3-N4,1088.63,1.045,Miscellanous
Miscellanous,N4 Supervisor for 10 Network,Honeywell,WEB-S-10-N4,2478.14,1.045,Miscellanous
Miscellanous,N4 Supervisor for 100 Network,Honeywell,WEB-S-100-N4,3674.35,1.045,Miscellanous
Miscellanous,N4 Supervisor Unlimited,Honeywell,WEB-S-UNL-N4,7536.53,1.045,Miscellanous
Miscellanous,N4 Add 1 Network Connectin,Honeywell,SUP-UP-1,282.64,1.045,Miscellanous
Miscellanous,N4 Add 100 Network Connectin,Honeywell,SUP-UP-100,3915.05,1.045,Miscellanous
Miscellanous,N4 Upgrades Supervisor 100 to Unlimited,Honeywell,SUP-UP-UNL,4219.58,1.045,Miscellanous
Miscellanous,JCI FX80 Server - 0 Network License,JCI,FX-SL000-0,650.88,1.05,Miscellanous
Miscellanous,JCI FX80 Server - 1 Network License,JCI,FX-SL001-0,808.87,1.05,Miscellanous
Miscellanous,JCI FX80 Server - 2 Network License,JCI,FX-SL002-0,965.99,1.05,Miscellanous
Miscellanous,JCI FX80 Server - 3 Network License,JCI,FX-SL003-0,1258.35,1.05,Miscellanous
Miscellanous,JCI FX80 Server - 10 Network License,JCI,FX-SL010-0,2867.83,1.05,Miscellanous
Miscellanous,JCI FX80 Server - 100 Network License,JCI,FX-SL100-0,4255.85,1.05,Miscellanous
Miscellanous,JCI FX80 Server - Unlimited Network Licenses,JCI,FX-SLUNL-0,7850.87,1.05,Miscellanous
Miscellanous,JCI FX80 Server Add 1 Device License,JCI,FX-SLU001-6,301.19,1.05,Miscellanous
Miscellanous,JCI FX80 Server Add 10 Device License,JCI,FX-SLDL010-0,1183.04,1.05,Miscellanous
Miscellanous,JCI FX80 Server Add 25 Device License,JCI,FX-SLDL025-0,1851.17,1.05,Miscellanous
Miscellanous,JCI FX80 Server Add 50 Device License,JCI,FX-SLDL050-0,2779.0,1.05,Miscellanous
Miscellanous,JCI FX80 Server Add 100 Device License,JCI,FX-SLDL100-0,4163.09,1.05,Miscellanous
Miscellanous,JCI FX80 Server Add 200 Device License,JCI,FX-SLDL200-0,5799.5,1.05,Miscellanous
Miscellanous,N4 Supervisor (10) Field Device Pack,Honeywell,SUP-DEVICE-10,979.22,1.045,Miscellanous
Miscellanous,N4 Supervisor (25) Field Device Pack,Honeywell,SUP-DEVICE-25,1531.74,1.045,Miscellanous
Miscellanous,N4 Supervisor (50) Field Device Pack,Honeywell,SUP-DEVICE-50,2556.55,1.045,Miscellanous
Miscellanous,N4 Supervisor (100) Field Device Pack,Honeywell,SUP-DEVICE-100,3413.59,1.045,Miscellanous
Miscellanous,N4 Supervisor (200) Field Device Pack,Honeywell,SUP-DEVICE-200,4746.57,1.045,Miscellanous
Miscellanous,N4 Supervisor 0 Initial 18 Month Maintenance,Honeywell,SUP-0-SMA-INIT,120.23,1.045,Miscellanous
Miscellanous,N4 Supervisor 1 Initial 18 Month Maintenance,Honeywell,SUP-1-SMA-INIT,185.16,1.045,Miscellanous
Miscellanous,N4 Supervisor 2 Initial 18 Month Maintenance,Honeywell,SUP-2-SMA-INIT,218.82,1.045,Miscellanous
Miscellanous,N4 Supervisor 3 Initial 18 Month Maintenance,Honeywell,SUP-3-SMA-INIT,257.3,1.045,Miscellanous
Miscellanous,N4 Supervisor 10 Initial 18 Month Maintenance,Honeywell,SUP-10-SMA-INIT,521.81,1.045,Miscellanous
Miscellanous,N4 Supervisor 100 Initial 18 Month Maintenance,Honeywell,SUP-100-SMA-INIT,774.31,1.045,Miscellanous
Miscellanous,N4 Supervisor Unlimited Initial 18 Month Maintenance,Honeywell,SUP-UNL-SMA-INIT,1324.57,1.045,Miscellanous
Miscellanous,N4 Supervisor 0 Additional 1 Year Maintenance,Honeywell,SUP-0-SMA-1YR,144.28,1.045,Miscellanous
Miscellanous,N4 Supervisor 0 Additional 3 Year Maintenance,Honeywell,SUP-0-SMA-3YR,315.01,1.045,Miscellanous
Miscellanous,N4 Supervisor 0 Additional 5 Year Maintenance,Honeywell,SUP-0-SMA-5YR,403.98,1.045,Miscellanous
Miscellanous,N4 Supervisor 1 Additional 1 Year Maintenance,Honeywell,SUP-1-SMA-1YR,154.3,1.045,Miscellanous
Miscellanous,N4 Supervisor 1 Additional 3 Year Maintenance,Honeywell,SUP-1-SMA-3YR,399.18,1.045,Miscellanous
Miscellanous,N4 Supervisor 1 Additional 5 Year Maintenance,Honeywell,SUP-1-SMA-5YR,512.2,1.045,Miscellanous
Miscellanous,N4 Supervisor 2 Additional 1 Year Maintenance,Honeywell,SUP-2-SMA-1YR,218.82,1.045,Miscellanous
Miscellanous,N4 Supervisor 2 Additional 3 Year Maintenance,Honeywell,SUP-2-SMA-3YR,476.12,1.045,Miscellanous
Miscellanous,N4 Supervisor 2 Additional 5 Year Maintenance,Honeywell,SUP-2-SMA-5YR,610.78,1.045,Miscellanous
Miscellanous,N4 Supervisor 3 Additional 1 Year Maintenance,Honeywell,SUP-3-SMA-1YR,257.3,1.045,Miscellanous
Miscellanous,N4 Supervisor 3 Additional 3 Year Maintenance,Honeywell,SUP-3-SMA-3YR,560.29,1.045,Miscellanous
Miscellanous,N4 Supervisor 3 Additional 5 Year Maintenance,Honeywell,SUP-3-SMA-5YR,719.0,1.045,Miscellanous
Miscellanous,N4 Supervisor 10 Additional 1 Year Maintenance,Honeywell,SUP-10-SMA-1YR,512.81,1.045,Miscellanous
Miscellanous,N4 Supervisor 10 Additional 3 Year Maintenance,Honeywell,SUP-10-SMA-3YR,1274.48,1.045,Miscellanous
Miscellanous,N4 Supervisor 10 Additional 5 Year Maintenance,Honeywell,SUP-10-SMA-5YR,1635.18,1.045,Miscellanous
Miscellanous,N4 Supervisor 100 Additional 1 Year Maintenance,Honeywell,SUP-100-SMA-1YR,774.31,1.045,Miscellanous
Miscellanous,N4 Supervisor 100 Additional 3 Year Maintenance,Honeywell,SUP-100-SMA-3YR,1890.08,1.045,Miscellanous
Miscellanous,N4 Supervisor 100 Additional 5 Year Maintenance,Honeywell,SUP-100-SMA-5YR,2423.91,1.045,Miscellanous
Miscellanous,N4 Supervisor Unlimited Additional 1 Year Maintenance,Honeywell,SUP-UNL-SMA-1YR,1589.49,1.045,Miscellanous
Miscellanous,N4 Supervisor Unlimited Additional 3 Year Maintenance,Honeywell,SUP-UNL-SMA-3YR,3876.34,1.045,Miscellanous
Miscellanous,N4 Supervisor Unlimited Additional 5 Year Maintenance,Honeywell,SUP-UNL-SMA-5YR,4970.46,1.045,Miscellanous
Miscellanous,"Spyder 5 w 4AO, 4UI, 0BI, 4 Relay BO, 2 Triac BO, w TC",Honeywell,WEB-RS5N,415.45,1.045,Miscellanous
Miscellanous,"Spyder 6 w 6AO, 10UI, 0BI, 4 Relay BO, 4 Triac BO, w TC",Honeywell,WEB-RL6N,587.84,1.045,Miscellanous
Miscellanous,Spyder Unitary 6438 wo Act or VP,Honeywell,PUL6438S,512.04,1.045,Miscellanous
Miscellanous,Spyder Relay 6438 wo Act or VP for SIO,Honeywell,PUL6438SR,564.56,1.045,Miscellanous
Miscellanous,Spyder VAV 4024 w VP No Act,Honeywell,PVL4024NS,361.05,1.045,Miscellanous
Miscellanous,Spyder Unitary 4024 wo Act or VP,Honeywell,PUL4024S,338.23,1.045,Miscellanous
Miscellanous,Spyder Unitary 1012 wo Act or VP,Honeywell,PUL1012S,256.02,1.045,Miscellanous
Miscellanous,Spyder VAV 0000 w Act & VP,Honeywell,PVL0000AS,301.97,1.045,Miscellanous
Miscellanous,Spyder VAV 4022 w Act & VP,Honeywell,PVL4022AS,387.31,1.045,Miscellanous
Miscellanous,Spyder VAV 6436 w Act & VP,Honeywell,PVL6436AS,544.86,1.045,Miscellanous
Miscellanous,Spyder VAV 6438 w VP No Act,Honeywell,PVL6438NS,620.51,1.045,Miscellanous
Miscellanous,Stryker VAV 4022 w Act & VP,Honeywell,CVL4022AS-VAV1,325.1,1.045,Miscellanous
Miscellanous,Stryker VAV 4024 wo Act,Honeywell,CVL4024NS-VAV1,298.85,1.045,Miscellanous
Miscellanous,Stryker AHU Controller,Honeywell,CUL6438SR-CV1,420.14,1.045,Miscellanous
Miscellanous,Stryker BACNet Lighting Controller,Honeywell,CLB6438S - Discontinued,0.0,1.045,Miscellanous
Miscellanous,Stryker BACNet VAV 4022 w Act & VP,Honeywell,CVB4022AS-VAV1,303.85,1.045,Miscellanous
